Cnpj|Nome|Codigo
36658769|BANCO XCMG BRASIL S.A.|01
08357240|BANCO CSF S.A.|01
00416968|BANCO INTER S.A.|01
10371492|BANCO YAMAHA MOTOR DO BRASIL S.A.|01
62144175|BANCO PINE S.A.|01
07450604|CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A|01
10664513|BANCO AGIBANK S.A.|01
03017677|BANCO J. SAFRA S.A.|01
58160789|BANCO SAFRA S.A.|01
61024352|BANCO VOITER S.A.|01
09526594|BANCO MASTER DE INVESTIMENTO S.A.|01
43818780|DAYCOVAL LEASING - BANCO MÚLTIPLO S.A.|01
01023570|BANCO RABOBANK INTERNATIONAL BRASIL S.A.|01
02038232|BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB|01
61182408|BANCO INVESTCRED UNIBANCO S.A.|01
01858774|BANCO BV S.A.|01
59588111|BANCO VOTORANTIM S.A.|01
61186680|BANCO BMG S.A.|01
31872495|BANCO C6 S.A.|01
03012230|HIPERCARD BANCO MÚLTIPLO S.A.|01
60746948|BANCO BRADESCO S.A.|01
01701201|KIRTON BANK S.A. - BANCO MÚLTIPLO|01
90400888|BANCO SANTANDER (BRASIL) S.A.|01
55230916|INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO|01
08609934|MONEYCORP BANCO DE CÂMBIO S.A.|01
00517645|BANCO RIBEIRAO PRETO S.A.|01
10264663|BANCOSEGURO S.A.|01
28195667|BANCO ABC BRASIL S.A.|01
04913711|BANCO DO ESTADO DO PARÁ S.A.|02
92702067|BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.|02
07237373|BANCO DO NORDESTE DO BRASIL S.A.|02
04902979|BANCO DA AMAZONIA S.A.|02
28127603|BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO|02
00000208|BRB - BANCO DE BRASILIA S.A.|02
13009717|BANCO DO ESTADO DE SERGIPE S.A.|02
00000000|BANCO DO BRASIL S.A.|02
00360305|CAIXA ECONOMICA FEDERAL|02
02992446|BANCO CNH INDUSTRIAL CAPITAL S.A.|03
59109165|BANCO VOLKSWAGEN S.A.|03
02801938|BANCO MORGAN STANLEY S.A.|03
42272526|BNY MELLON BANCO S.A.|03
60498557|BANCO MUFG BRASIL S.A.|03
03502961|BANCO PSA FINANCE BRASIL S.A.|03
